W/L (nm);Wavenumber ();Transmission 
1288;7763.975155;0.67
1288;7763.975155;0.4
1288;7763.975155;0.1
1288;7763.975155;-0.2
1288;7763.975155;-0.48
1288;7763.975155;-0.73
1289;7757.951901;-0.95
1289;7757.951901;-1.13
1289;7757.951901;-1.26
1289;7757.951901;-1.34
1289;7757.951901;-1.36
1289;7757.951901;-1.34
1289;7757.951901;-1.26
1289;7757.951901;-1.13
1289;7757.951901;-0.93
1289;7757.951901;-0.66
1289;7757.951901;-0.33
1289;7757.951901;0.05
1289;7757.951901;0.44
1289;7757.951901;0.81
1289;7757.951901;1.12
1289;7757.951901;1.33
1289;7757.951901;1.45
1289;7757.951901;1.5
1289;7757.951901;1.5
1289;7757.951901;1.49
1289;7757.951901;1.51
1289;7757.951901;1.54
1289;7757.951901;1.58
1289;7757.951901;1.59
1289;7757.951901;1.56
1290;7751.937984;1.47
1290;7751.937984;1.3
1290;7751.937984;1.08
1290;7751.937984;0.84
1290;7751.937984;0.6
1290;7751.937984;0.41
1290;7751.937984;0.29
1290;7751.937984;0.28
1290;7751.937984;0.38
1290;7751.937984;0.56
1290;7751.937984;0.81
1290;7751.937984;1.07
1290;7751.937984;1.28
1290;7751.937984;1.41
1290;7751.937984;1.41
1290;7751.937984;1.28
1290;7751.937984;1.05
1290;7751.937984;0.74
1290;7751.937984;0.41
1290;7751.937984;0.09
1290;7751.937984;-0.19
1290;7751.937984;-0.43
